country,medal,count
AUS,Bronze,210
AUS,Gold,162
AUS,Silver,170
CHN,Bronze,171
CHN,Gold,264
CHN,Silver,193
FRA,Bronze,270
FRA,Gold,229
FRA,Silver,249
GBR,Bronze,303
GBR,Gold,293
GBR,Silver,308
GER,Bronze,497
GER,Gold,449
GER,Silver,463
HUN,Bronze,177
HUN,Gold,182
HUN,Silver,156
ITA,Bronze,215
ITA,Gold,222
ITA,Silver,195
RUS,Bronze,176
RUS,Gold,169
RUS,Silver,157
SWE,Bronze,181
SWE,Gold,150
SWE,Silver,176
USA,Bronze,731
USA,Gold,1070
USA,Silver,827
